title, release, cast1, cast2, cast3, cast4, cast5, crew1, crew2, crew3, crew4, crew5, genra, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
The River Rat, 1984-09-28, Tommy Lee Jones, Martha Plimpton, Brian Dennehy, Shawn Smith, Dan Hewitt Owens, Thomas Rickman, Thomas Rickman, , , , Adventure-Crime-Drama-Family,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,
Pearl Jam: Immagine in Cornice, 2007-09-25, Eddie Vedder, Mike McCready, Stone Gossard, Jeff Ament, Matt Cameron, , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jibbing With Jeremy Jones, 2005-12-01, Jeremy Jones, , , , , Mike McEntire, , , , , Action-Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,
The Longest Night In Shanghai, 2007-06-26, Zhao Wei, Masahiro Motoki, Li Feng, Dylan Kuo, Sam Lee, Zhang Yibai, yuji yamamura, Zhang Yibai, Tao Yang, , Drama-Foreign-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
Thorvaldsen, 1949-06-13, , , , , , Carl Th. Dreyer, , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
The Collector, 2012-06-07, Rudolf Martin, Kate Siegel, Ashley Barron, Scott Conner, , Darian Lane, Darian Lane, , , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Red Cliff Part II, 2009-01-08, Tony Leung Chiu-Wai, Takeshi Kaneshiro, Zhang Fengyi, Zhao Wei, Chang Chen, John Woo, Guanzhong Luo, John Woo, Andy Hass, Dhumal Sagar, Action-Comedy-Drama-History-Thriller,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,,
Hollywood Hot Tubs 2: Educating Crystal, 1990-03-01, Jewel Shepard, Remy O'Neill, David Tiefen, Bart Braverman, Patrick Day, Kenneth Raich, Brent V. Friedman, Mark Borde, , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Little Fauss and Big Halsy, 1970-10-21, Robert Redford, Michael J. Pollard, Lauren Hutton, Noah Beery,  Jr., Sidney J. Furie, Charles Eastman, , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Staircase, 1969-08-20, Richard Burton, Rex Harrison, Cathleen Nesbitt, Beatrix Lehmann, , Stanley Donen, , , , , Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Private Tropical 8: Ocean Dream, 2004-02-16, Claudia Rossi, Sarah Twain, Jennifer Dark, Julie Silver, Lucy Lee, Alessandro del Mar, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chris Addison: Live, 2011-11-14, Chris Addison, , , , , , , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Positive I.D., 1986-10-28, Stephanie Rascoe, John S. Davies, Steve Fromholz, Lauren Lane, , Andy Anderson, , , , , Crime-Drama-Thriller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
Pandoora, 2002-08-07, , , , , , Takashi Miike, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cry of the Werewolf, 1944-08-17, Nina Foch, Stephen Crane, Osa Massen, Blanche Yurka, Barton MacLane, Henry Levin, Griffin Jay, Griffin Jay, Charles O'Neal, , Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Metallic Attraction: Kungfu Cyborg, 2009-08-13, Hu Jun, Betty Sun, Lik-Sun Fong, Wei Gan, Ronald Cheng, Jeff Lau Chun-Wai, Jeff Lau Chun-Wai, Yuen Tak, , , Action-Comedy-ScienceFiction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,
Kadokawa Mystery & Horror Tales Vol. 1, 2005-01-01, , , , , , Tomoyuki Akashi, Kenji Nakanishi, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Volga Boatman, 1926-05-23, William Boyd, Elinor Fair, Robert Edeson, Victor Varconi, Julia Faye, Adrian, Anne Bauchens, Anton Grot, Mitchell Leisen, Max Parker, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Three Days of the Condor, 1975-09-24, Robert Redford, Faye Dunaway, Cliff Robertson, Max von Sydow, John Houseman, Sydney Pollack, James Grady, Lorenzo Semple Jr., David Rayfiel, Stanley Schneider, Action-Mystery-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,
Mery per sempre, 1989-05-03, Michele Placido, Claudio Amendola, Francesco Benigno, Alessandra Di Sanzo, Tony Sperandeo, Marco Risi, Aurelio Grimaldi, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Chainsaw Sally, 2004-10-02, April Monique Burril, Mark Redfield, Alec Joseph, Gunnar Hansen, Herschell Gordon Lewis, Jimmyo Burril, Jimmyo Burril, , , , Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Put-Put Troubles, 1940-07-19, Clarence Nash, Lee Millar, , , , Riley Thomson, Nick DeTolly, Ed Parks, Judge Whitaker, Jim Armstrong, Animation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Start Cheering, 1938-03-03, Jimmy Durante, Walter Connolly, Joan Perry, Charles Starrett, Craig E. Earle, Albert S. Rogell, Eugene Solow, Richard Wormser, Philip Rapp, , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Star Watching Dog, 2011-06-10, Toshiyuki Nishida, Umika Kawashima, Kimiko Yo, Tetsuji Tamayama, , Tomoyuki Takimoto, Takashi Murakami, Hiroshi Hashimoto, , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
2003 Fiesta Bowl National Championship, 2003-03-01, , , , , , , , , , , TVMovie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
One Day in the Life of Andrei Arsenevich, 1999-05-15, , , , , , Chris Marker, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Attack of the Sabretooth, 2005-07-14, Robert Carradine, Nicholas Bell, Brian Wimmer, Stacy Haiduk, Susanne Sutchy, George T. Miller, , , , , Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Institute, 2013-10-11, Arye Bender, Jeff Hull, Gordon McLaughlin, Daniel Shoup, , Spencer McCall, , , , , Crime-Documentary-Mystery,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,
Red Letters, 2000-06-09, Peter Coyote, Nastassja Kinski, Fairuza Balk, Jeremy Piven, Ernie Hudson, Bradley Battersby, Tom Hughes, Bradley Battersby, John Van Tongeren, Steven Fierberg, Crime-Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Alex Agnew: Larger Than Life, 2011-11-29, Alex Agnew, , , , , , , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Cardboard Village, 2011-09-06, Michael Lonsdale, Rutger Hauer, Alessandro Haber, Massimo De Francovich, , Ermanno Olmi, , , , , Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Operation Las Vegas, 1990-04-27, Richard Harrison, , , , , N.G. Mount, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Safe Harbour, 2007-10-30, Melissa Gilbert, Brad Johnson, Liana Liberato, Rebecca Staab, , Bill Corcoran, Danielle Steel, , , , Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
3 Blind Mice, 2003-10-08, Edward Furlong, Emilia Fox, Elsa Zylberstein, Chiwetel Ejiofor, , Mathias Ledoux, Mikael Ollivier, , , , Foreign-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,
The Engagement Ring, 2005-11-20, Patricia Heaton, Vincent Spano, Lainie Kazan, Chuck Shamata, Tony Lo Bianco, Steven Schachter, Rodney Patrick Vaccaro, Frank Denson, Ted Bauman, Jeff Beal, Comedy-Drama-Romance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Bornova Bornova, 2009-11-13, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Matrimony's Speed Limit, 1913-06-11, Fraunie Fraunholz, Marian Swayne, , , , Alice Guy, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
It's Tough to Be a Bird, 1969-12-10, Ruth Buzzi, Ricahrd Bakalyan, , , , Ward Kimball, Ted Berman, Ward Kimball, , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Do-Nut, 2011-05-26, Pimradapa Wright, Phulada Luechatham, Charlie Trairat, , , Nirun Thumpreecha, , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Massacre, 1989-01-01, Gino Concari, Patrizia Falcone, Silvia Conti, Pier Maria Cecchini, Robert Egon, Andrea Bianchi, Andrea Bianchi, Andrea Bianchi, Antonio Lucidi, Luigi Nannerini, Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dear Zachary: A Letter to a Son About His Father, 2008-10-31, Kurt Kuenne, Andrew Bagby, David Bagby, Kathleen Bagby, Shirley Turner, Kurt Kuenne, , , , , Crime-Documentary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Man in the Shadow, 1957-11-01, Orson Welles, Jeff Chandler, Colleen Miller, James Gleason, Paul Fix, Jack Arnold, Gene L. Coon, Arthur E. Arling, Edward Curtiss, Albert Zugsmith, Drama-Thriller-Western,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,
French Mafia, 2011-04-10, , , , , , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
My Name Called Bruce, 1978-01-01, Bruce Le, , , , , Joseph Kong Hung, Zackey Chan Ngai-Wai, , , , Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
A Very British Gangster 2, 2011-09-04, Jamie Dorrington, Mick Moloney, , , , Donal MacIntyre, , , , , Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
An Interesting Story, 1904-10-01, , , , , , James Williamson, , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adventures of a Teenage Dragonslayer, 2010-04-16, Amy Pietz, Eric Lutes, Hunter Allan, Lea Thompson, Wendie Malick, Andrew Lauer, Jamie Nash, , , , Adventure-Comedy-Family,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
The Secret, 2006-03-26, Bob Proctor, Joe Vitale, John Assaraf, Loral Langemeier, Marie Diamond, Rhonda Byrne, Glenda Bell, Marc Goldenfein, Paul Harrington, Paul Harrington, Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Fire Chief, 1940-12-13, Clarence Nash, Clarence Nash, Clarence Nash, Clarence Nash, , Jack King, Carl Barks, Jack Hannah, Walt Disney, Paul J. Smith, Animation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FRED: The Movie, 2010-09-18, Lucas Cruikshank, Jennette McCurdy, Jake Weary, Pixie Lott, John Cena, Gary Binkow, Clay Weiner, , , , Comedy-Family,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Mon copain Rachid, 1998-01-01, Jonathan Reyes, Mathieu Demy, Nordine Mezaache, , , Philippe Barassat, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Another Public Enemy, 2005-01-27, Sol Kyung-Gu, Jung Joon-ho, Kang Shin-il, Park Sang-wook, , Kang Woo-Suk, Kim Hee-jae, Kim Sung-Bok, , , Action-Drama-Foreign-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,
Mighty Jerome, 2010-10-08, , , , , , Charles Officer, Charles Officer, , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Martina McBride: Martina, 2003-09-30, Martina McBride, , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Eros Ramazotti : Live at Rome, 2009-11-06, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Backflash, 2002-01-22, Robert Patrick, Jennifer Esposito, Mike Starr, Melissa Joan Hart, Mike Hagerty, Philip J. Jones, , , , , Action-Mystery-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,
X: The Man with the X-Ray Eyes, 1963-09-18, Ray Milland, Diana Van der Vlis, Harold J. Stone, John Hoyt, Don Rickles, Robert Dillon, Ray Russell, Roger Corman, Roger Corman, Betty Pedretti, Horror-ScienceFiction-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,
Urban Justice, 2007-11-13, Steven Seagal, Eddie Griffin, Kirk B.R. Woller, Carmen Serano, Liezl Carstens, Don E. FauntLeRoy, Gilmar Fortis II, , , , Action-Adventure-Thriller,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,
The Nightmare Before Christmas, 1993-10-09, Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Tim Burton, Michael McDowell, Caroline Thompson, Tim Burton, Denise Di Novi, Animation-Family-Fantasy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Chris De Burgh: The Road to Freedom, 2004-11-01, , , , , , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lebbis: W2P, 2004-01-01, Hans Sibbel, , , , , Hans Sibbel, Koos Terpstra, Roland van der Grinten, Jacco van den Dool, Martin Oudshoorn, Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Stud and the Nymph, 1980-04-04, , , , , , Lu Chi, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Almost True: The Noble Art of Forgery, 1997-01-01, Elmyr de Hory, David Malatesta, , , , Knut W. Jorfald, Knut W. Jorfald, Johannes Rod, , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Lincoln: Prelude to the Presidency, 1900-01-01, , , , , , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Ozzfest 10th Anniversary, 2005-11-22, Ozzy Osbourne, Sharon Osbourne, Jack Osbourne, Jada Pinkett Smith, Anthrax, , , , , , Comedy-Music,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
First Kiss, 2012-01-25, Kaneungnich Jaksamithanon, Pichasini Tanwiboon, Songsitt Rungnoppakhunsri, Takrit Hemannopjit, Tin Chokamolkit, Kirati Nakintanon, , , , , Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Foreign Student, 1994-07-29, Robin Givens, Marco Hofschneider, Rick Johnson, Charlotte Ross, Edward Herrmann, Eva Sereny, Philippe Labro, Menno Meyjes, Tarak Ben Ammar, Mark Lombardo, Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Voyage of the Rock Aliens, 1984-03-09, Pia Zadora, Craig Sheffer, Ruth Gordon, Tom Nolan, Michael Berryman, James Fargo, Jack White, Dante Spinotti, Edward Gold, , Comedy-Music-ScienceFiction,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Naanayam, 2010-01-14, Prasanna, Sibiraj, Ramya Raj, Yasmin Khan, S. P. Balasubramaniam, Shakti S. Rajan, James Vasanthan, , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Towa no Quon 3: The Complicity of Dreams, 2011-08-12, , , , , , Steven Foster, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ankusham, 1990-04-05, Dr. Rajasekhar, , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hurlements en faveur de Sade, 1952-03-25, , , , , , Guy Debord, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Labyrinth of Lies, 2002-04-16, Karoline Eichhorn, Kai Wiesinger, Birge Schade, Samuel Finzi, Camilla Schiefler, Olaf Kreinsen, Stefan Kolditz, , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Compound Fracture, 2013-03-14, Tyler Mane, Muse Watson, Derek Mears, Leslie Easterbrook, Renae Geerlings, Anthony J. Rickert-Epstein, Renae Geerlings, Tyler Mane, , , Horror-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Heavy Metal, 1981-08-07, Rodger Bumpass, Jackie Burroughs, Joe Flaherty, Harold Ramis, John Candy, Gerald Potterton, Daniel Goldberg, Len Blum, Jean Giraud, Leonard Mogel, Animation-ScienceFiction,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Asian Fever 30, 2006-07-26, Sanae Moon, Arcadia Davida, Ryaan Reynolds, Mya Luanna, Avena Lee, Richard De Montfort, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Warrior Within, 1976-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Love and a Bullet, 2002-08-30, Anthony 'Treach' Criss, Kent King, Charles Guardino, Shireen Crutchfield, Parris Washington, Kantz, Ben Ramsey, Ben Ramsey, Kantz, , Action-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,
Galaxy Express 999: Can You Love Like a Mother, 1980-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Pink Phink, 1964-12-18, , , , , , Friz Freleng, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bellator 82, 2012-11-30, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lighthouse, 1983-01-30, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
How Arnold Won the West, 2004-04-24, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Maalai Pozhudhin Mayakathilaey, 2012-07-27, Aari, Shubha Phutela, Subbu Panchu, Balaji Venugopal, Sathish, Narayan Nagendra Rao, Mayuri Sekar, Narayan Nagendra Rao, , , Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Belleville Baby, 2013-01-29, Olivier Desautel, , , , , Mia Engberg, , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Boxing Helena, 1993-09-03, Julian Sands, Sherilyn Fenn, Bill Paxton, Kurtwood Smith, Art Garfunkel, Jennifer Chambers Lynch, Philippe Caland, Jennifer Chambers Lynch, Brigitte Caland, Philippe Caland, Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Quatermass Experiment, 2005-04-02, Jason Flemyng, David Tennant, Adrian Dunbar, Indira Varma, Andrew Tiernan, Sam Miller, Nigel Kneale, Nigel Kneale, Richard Fell, , Drama-ScienceFiction-Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,
Detour, 2003-12-02, Ashley Reed, Aaron Buer, Brent Taylor, Danna Brady, Kelsey Wedeen, Steve Taylor, , , , , Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Life and Adventures of Nicholas Nickleby, 1947-03-12, Cedric Hardwicke, Stanley Holloway, Derek Bond, Mary Merrall, Sally Ann Howes, Alberto Cavalcanti, Michael Balcon, John Dighton, Charles Dickens, Lord Berners, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Let's Get Skase, 2001-10-18, Lachy Hulme, Alex Dimitriades, Craig McLachlan, Bill Kerr, Helen Buday, Matthew George, Matthew George, Lachy Hulme, , , Action-Adventure-Comedy,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,
The Story of Temple Drake, 1933-05-06, Miriam Hopkins, William Gargan, Jack La Rue, Florence Eldridge, Guy Standing, Stephen Roberts, Oliver H.P. Garrett, William Faulkner, , , Crime-Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Swamp Women, 1956-11-16, Marie Windsor, Carole Mathews, Beverly Garland, Mike Connors, , Roger Corman, , , , , Action-Adventure-Drama-Thriller,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,
Dream and Reality, 1901-01-01, , , , , , Ferdinand Zecca, , , , , Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Magic Treasure, 2006-09-23, , , , , , David Allen, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Borderland, 1937-02-26, William Boyd, James Ellison, George 'Gabby' Hayes, Morris Ankrum, John Beach, Nate Watt, , , , , Western,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
My Run, 2011-03-31, , , , , , , , , , , Documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Heroes in Hell, 1974-09-12, Rosemarie Lindt, Franco Garofalo, Klaus Kinski, , , Joe D'Amato, , , , , Drama-War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Wizard of Oz, 1933-01-01, , , , , , Ted Eshbaugh, , , , , Animation-Comedy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nissebanden 1, 1984-01-01, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Joanna Angels Alt Corruption, 2007-07-18, Joanna Angel, James Deen, Katrina Kraven, Kylee Kross, Tommy Pistol, , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Les Hauts Murs, 2008-04-30, Carole Bouquet, Catherine Jacob, Michel Jonasz, Emile Berling, Guillaume Gouix, Christian Faure, , , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Urban Feel, 1999-01-01, , , , , , , , , , , Drama-Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
South of Santa Fe, 1942-02-17, Roy Rogers, George 'Gabby' Hayes, Linda Hayes, Paul Fix, Arthur Loft, Joseph Kane, James R. Webb, Joseph Kane, Mort Glickman, Harry Neumann, Western,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
I'll Be There, 2003-08-01, Craig Ferguson, Charlotte Church, Jemma Redgrave, Stephen Noonan, Anthony Stewart Head, Craig Ferguson, Craig Ferguson, Philip McGrade, , , Comedy-Drama-Family-Music,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
The Hike, 2011-09-30, Tamer Hassan, Barbara Nedeljakova, Ben Loyd-Holmes, Zara Phythian, , Rupert Bryan, Ben Loyd-Holmes, Rupert Bryan, , , Horror-Thriller,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Doghouse, 2009-06-11, Stephen Graham, Danny Dyer, Noel Clarke, Emil Marwa, Lee Ingleby, Richard Wells, Ali Asad, Jake West, Jane Frisby, Matthew Button, Comedy-Horror,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
A Conversation with Gregory Peck, 1999-01-01, Gregory Peck, Cecilia Peck, Veronique Peck, Colleen Sheehy, Don Peck, Barbara Kopple, , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guido Weijers: De Oudejaarsconference 2007, 2007-12-31, Guido Weijers, , , , , , , , , , Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Blowfish, 2011-08-05, Vicci Pan, Kang Jen Wu, Lu Yi-ching, Angel Yao, Hong Xiu Wu, Chi Y. Lee, Chi Y. Lee, Vicci Pan, Li-Fen Chien, Yoshihiro Hanno, Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Roy Chubby Brown: Saturday Night Beaver, 1996-10-30," Roy ""Chubby ""Brown", , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Exit, 2011-01-01, Kylie Trounson, Michael Finney, Hannah Moore, Drew Tingwell, David Whiteley, Marek Polgar, Martyn Pedler, , , , Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
The Manipulator, 1971-12-15, Mickey Rooney, Luana Anders, Keenan Wynn, , , Yabo Yablonsky, Yabo Yablonsky, John Durin, , , Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Flower in the Pocket, 2007-10-05, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Camp Blood, 2000-04-04, Jennifer Ritchkoff, Michael Taylor, Ron Ford, Tim Young, Betheny Zolt, Brad Sykes, David S. Sterling, Jeff Leroy, Brad Sykes, Jeff Leroy, Horror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
